leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_30_320.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_30_320.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_30_320.jpg,-0.032741123,0.833333333,0,34.69873833,25.08,99.66
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_30_845.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_30_845.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_30_845.jpg,0.395841017,0.276667717,0.242248117,36.58629,25.08,99.65
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_31_308.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_31_308.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_31_308.jpg,0.666666667,0.006283673,0,29.11154,25.08,99.66
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_31_800.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_31_800.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_31_800.jpg,0.33606912,0.571512395,0,28.39200167,25.08,99.66
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_32_285.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_32_285.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_32_285.jpg,0.127901683,0.2204208,0,29.54930167,25.08,99.65
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_32_730.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_32_730.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_32_730.jpg,0.103369983,0.132969183,0,31.31986667,25.08,99.64
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_33_192.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_33_192.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_33_192.jpg,0.833333333,0,0,29.15863167,25.08,99.64
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_33_647.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_33_647.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_33_647.jpg,0,0.666666667,0,29.27514333,25.08,99.64
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_34_089.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_34_089.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_34_089.jpg,-0.2317698,0.5116212,0,36.42361833,25.09,99.61
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_34_583.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_34_583.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_34_583.jpg,-0.900314,0,0.288358133,31.42841,25.09,99.61
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_35_094.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_35_094.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_35_094.jpg,-0.974951333,0.014371582,0.187261318,21.63038333,25.09,99.62
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_35_623.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_35_623.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_35_623.jpg,-0.4839939,0.671912217,0,21.10820167,25.09,99.62
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_36_096.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_36_096.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_36_096.jpg,-0.191508255,0.96221035,0,30.04142667,25.1,99.58
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_36_598.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_36_598.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_36_598.jpg,0,0.833333333,0.13678285,39.54680667,25.12,99.53
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_37_102.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_37_102.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_37_102.jpg,-0.309295667,0,0.714771367,36.85225167,25.12,99.53
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_37_579.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_37_579.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_37_579.jpg,-0.814206167,0.066212533,0,29.634865,25.12,99.54
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_38_050.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_38_050.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_38_050.jpg,-0.184397893,0.778467888,0,32.188105,25.12,99.53
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_38_537.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_38_537.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_38_537.jpg,-0.38779485,0.507575183,0,37.756795,25.13,99.49
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_39_015.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_39_015.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_39_015.jpg,-0.10927076,0.833333333,0,42.81913,25.13,99.46
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_39_476.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_39_476.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_39_476.jpg,0.021950867,0.166666667,0.80382,45.42983167,25.13,99.44
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_39_916.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_39_916.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_39_916.jpg,0.620732617,0,0.482928415,36.29742167,25.14,99.46
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_40_378.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_40_378.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_40_378.jpg,0.55664065,0.708504483,0,33.70189833,25.14,99.46
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_40_859.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_40_859.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_40_859.jpg,0.507430767,0.561440167,0.166666667,40.78374,25.15,99.42
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_41_363.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_41_363.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_41_363.jpg,-0.4045107,0.249463183,0.475491367,36.13385833,25.15,99.43
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_41_825.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_41_825.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_41_825.jpg,-0.100247067,0,0.675091633,32.43982333,25.15,99.43
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_42_316.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_42_316.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_42_316.jpg,-0.42652435,0.405513367,0.113109383,26.26494,25.15,99.44
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_42_782.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_42_782.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_42_782.jpg,-0.4208038,0.57997705,0,31.27398333,25.15,99.41
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_43_251.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_43_251.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_43_251.jpg,-0.306047167,0.277103217,0,34.82868,25.15,99.4
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_43_680.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_43_680.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_43_680.jpg,-0.286825817,0.185507183,0,37.48676833,25.15,99.38
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_44_137.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_44_137.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_44_137.jpg,-0.087196358,0.364006333,0,39.289155,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_44_596.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_44_596.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_44_596.jpg,0.152228373,0,0.863943517,38.76835333,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_45_029.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_45_029.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_45_029.jpg,0.2155249,0,0.333333333,34.72432,25.15,99.38
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_45_466.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_45_466.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_45_466.jpg,0.5,0,0,33.01251333,25.15,99.38
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_45_894.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_45_894.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_45_894.jpg,0.439968617,0,0,32.07781667,25.15,99.38
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_46_375.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_46_375.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_46_375.jpg,0.666666667,0,0,29.95439,25.15,99.38
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_46_847.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_46_847.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_46_847.jpg,-0.07602918,0.5,0.0567306,29.30722833,25.15,99.38
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_47_278.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_47_278.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_47_278.jpg,-0.307857687,0.625178467,0,34.53200833,25.15,99.36
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_47_763.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_47_763.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_47_763.jpg,-0.517406708,0,0.615767767,33.324075,25.15,99.36
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_48_239.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_48_239.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_48_239.jpg,-0.152581883,0,0.0272193,7.640482333,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_48_703.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_48_703.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_48_703.jpg,0.002629043,0,1,1.746486717,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_49_197.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_49_197.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_49_197.jpg,0.863133467,0,0.540464817,2.508836667,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_49_634.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_49_634.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_49_634.jpg,0.969733133,0,0.356646967,3.6982215,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_50_073.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_50_073.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_50_073.jpg,0.981789617,0,0.2699029,4.313398,25.15,99.37
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_50_503.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_50_503.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_50_503.jpg,1,0,0.1270521,4.280961667,25.15,99.36
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_50_982.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_50_982.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_50_982.jpg,0.426792193,0.56240295,0.013008947,2.470426583,25.15,99.36
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_51_463.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_51_463.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_51_463.jpg,-0.72965785,0.703064467,0,4.485424667,25.15,99.36
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_51_972.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_51_972.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_51_972.jpg,-0.4442512,0.161827417,0,9.961467333,25.15,99.35
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_52_474.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_52_474.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_52_474.jpg,-0.410922152,0.73415395,0,14.376965,25.15,99.34
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_52_908.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_52_908.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_52_908.jpg,0.00229419,0.508581943,0,19.741895,25.15,99.33
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_53_338.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_53_338.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_53_338.jpg,-0.017237045,1,0,28.46333333,25.16,99.3
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_53_794.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_53_794.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_53_794.jpg,-0.230047183,0.346122483,0,35.28949167,25.16,99.26
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_54_220.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_54_220.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_54_220.jpg,0.14313355,0.483941455,0,37.52516667,25.16,99.25
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_54_678.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_54_678.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_54_678.jpg,-0.162434317,0.333333333,0.00188179,32.90967167,25.16,99.26
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_55_158.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_55_158.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_55_158.jpg,0.42869075,0.064016767,0,5.315344,25.16,99.26
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_55_593.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_55_593.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_55_593.jpg,0.132033546,0.972558883,0,4.842827833,25.16,99.26
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_56_015.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_56_015.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_56_015.jpg,0.17393197,0.979855567,0,7.647443333,25.16,99.26
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_56_453.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_56_453.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_56_453.jpg,0.558675167,0.8600063,0,10.37275733,25.16,99.25
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_56_918.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_56_918.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_56_918.jpg,0.130028367,0.96765465,0,14.27100333,25.16,99.25
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_57_369.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_57_369.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_57_369.jpg,0.373067567,0.810467883,0,16.96631,25.16,99.24
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_57_804.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_57_804.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_57_804.jpg,-0.179414075,0.991403467,0,19.428375,25.16,99.23
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_58_293.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_58_293.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_58_293.jpg,-0.324820627,0.677113617,0,20.88164333,25.16,99.23
