leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %,acceleration, speedMS, coolingPower, generatedHeat, instantaneousPower
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_387.jpg,0,0,0,0.0001074834,24.99,99.99,0.0002539633968048559,0,10.773638808662742,0.008507152594154535,-10.765131656068588
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_470.jpg,0,0,0,0.0001235179,24.99,99.99,0.00031839971248769197,0,11.039635006706131,0.008507152594154535,-11.031127854111977
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_548.jpg,0,0,0,0.0001531586,24.99,99.99,0.00038935341505157254,0,10.37461280008144,0.008507152594154535,-10.366105647487286
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_620.jpg,0,0,0,0.0002218553,24.99,99.99,0.000523021139319246,0,9.576529071402613,0.008507152594154535,-9.568021918808459
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_699.jpg,0,0,0,2.475321E-05,24.98,99.99,0.0006904811260199553,0,10.507610899103133,0.008507152594154535,-10.499103746508979
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_769.jpg,0,0,0,0.0002820985,24.98,99.99,8.694437605898125e-05,0,9.310564584875443,0.008507152594154535,-9.30205743228129
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_849.jpg,0,0,0,4.951222E-05,24.98,99.99,0.0008670023567378801,0,10.640608998124828,0.008507152594154535,-10.632101845530674
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_930.jpg,0,0,0,4.239181E-06,24.98,99.99,0.00015029203805990462,0,10.773638808662742,0.008507152594154535,-10.765131656068588
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_011.jpg,0,0,0,7.774372E-05,24.98,99.99,1.2867874385515606e-05,0,10.773607097146524,0.008507152594154535,-10.76509994455237
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_090.jpg,0,0,0,0.0001053544,24.97,99.99,0.00024196208666901409,0,10.507610899103133,0.008507152594154535,-10.499103746508979
