leftpic, middlepic, rightpic, steering angle, break, throttle, speedmph, battery temp, battery %
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_387.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_387.jpg,0,0,0,0.0001074834,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_470.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_470.jpg,0,0,0,0.0001235179,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_548.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_548.jpg,0,0,0,0.0001531586,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_620.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_620.jpg,0,0,0,0.0002218553,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_699.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_699.jpg,0,0,0,2.475321E-05,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_769.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_769.jpg,0,0,0,0.0002820985,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_849.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_849.jpg,0,0,0,4.951222E-05,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_14_930.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_14_930.jpg,0,0,0,4.239181E-06,24.99,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_011.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_011.jpg,0,0,0,7.774372E-05,24.98,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_090.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_090.jpg,0,0,0,0.0001053544,24.98,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_157.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_157.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_157.jpg,0,0,0,0.0001206238,24.98,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_240.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_240.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_240.jpg,0,0,0,0.0001409834,24.98,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_324.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_324.jpg,0,0,0,0.0001711269,24.98,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_406.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_406.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_406.jpg,0,0,0,5.239444E-05,24.97,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_486.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_486.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_486.jpg,0,0,0,4.525283E-05,24.97,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_566.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_566.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_566.jpg,0,0,0,5.011927E-05,24.97,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_648.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_648.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_648.jpg,0,0,0,8.641114E-05,24.97,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_729.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_729.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_729.jpg,0,0,0,8.004127E-05,24.97,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_810.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_810.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_810.jpg,0,0,0,9.34455E-05,24.96,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_877.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_877.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_877.jpg,0,0,0,3.984682E-05,24.96,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_15_960.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_15_960.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_15_960.jpg,0,0,0,0.000137157,24.96,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_032.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_032.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_032.jpg,0,0,0,0.0001510962,24.96,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_106.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_106.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_106.jpg,0,0,0,0.0002397192,24.96,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_181.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_181.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_181.jpg,0,0,0,3.706193E-05,24.95,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_255.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_255.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_255.jpg,0,0,0,3.045769E-05,24.95,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_331.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_331.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_331.jpg,0,0,0,5.736306E-05,24.95,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_405.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_405.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_405.jpg,0,0,0,1.007786E-05,24.95,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_480.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_480.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_480.jpg,0,0,0,5.056751E-06,24.95,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_551.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_551.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_551.jpg,0,0,0,0.0001001315,24.94,99.99
E:\Users\Matt\Documents\IMG\center_2018_04_24_16_01_16_624.jpg,E:\Users\Matt\Documents\IMG\left_2018_04_24_16_01_16_624.jpg,E:\Users\Matt\Documents\IMG\right_2018_04_24_16_01_16_624.jpg,0,0,0,0.0001154341,24.94,99.99
